raw,author,content,author_action,collaborate
ลุงวิศวกร สอนคำนวณ ได้แชร์โพสต์  · ===============2 ชม.===  · เจอกันกับ MicroPython วันอาทิตย์นี้ ซ้อมวิชาก่อนไปเขียนลง Raspberry Pi Picoลุงวิศวกร สอนคำนวณ  · =====16 ชม.===============  · เขียน MicroPython ลงบอร์ด ESP8266 -ESP07 ขนาดเท่าเหรียญบาท ราคาไม่ถึง 100 บาท สามารถส่งข้อมูล (อุณหภูมิ+ความชื้นจาก DHT22 ยอดนิยม) เข้า Server ได้เลยด้วย socket... ดูเพิ่มเติม29ความคิดเห็น 2 รายการแชร์ 5 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKrittinaphat Phrommajeen5555... excellent work · แชร์ · 1 ชม.Titatum Nakunรอเรียนรู้ครับ · แชร์ · 1 ชม.,ลุงวิศวกร สอนคำนวณ,เจอกันกับ MicroPython วันอาทิตย์นี้ ซ้อมวิชาก่อนไปเขียนลง Raspberry Pi Pico,ลุงวิศวกร สอนคำนวณ ได้แชร์โพสต์,"29
ความคิดเห็น 2 รายการ
แชร์ 5 ครั้ง"
"Hari Ethan
22 ชม.
 
 · 
ทำไมComsci ถึงต้องเรียนเคมีกับชีวะครับ?
491
ความคิดเห็น 228 รายการ
แชร์ 30 ครั้ง
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นก่อนหน้า
เอกนรินทร์ ณัฐภณ
ความรู้ทุกอย่าง มันสัมพันธ์กันหมด เป็นพื้นฐานและเกี่ยวข้องกับการดำเนินชีวิตของเรา เพียงแต่เรามุ่งเน้นความรู้ทางด้านคอมพิวเตอร์เพื่อใช้ในการประกอบวิชาชีพ อย่าไปคิดให้เป็นเรื่องยาก อย่าสงสัยว่าทำไมต้องเรียน ให้คิดแค่ง่ายๆ ไม่ซับซ้อน ว่า ""รู้"" ย่อมดี ""กว่... ดูเพิ่มเติม
แชร์ · 2 ชม.
Jirawat Maubkhuntod
การศึกษาไทยมันเป็นธุระกิจครับ
แชร์ · 2 ชม.",,ทำไมComsci ถึงต้องเรียนเคมีกับชีวะครับ?,Hari Ethan,"491
ความคิดเห็น 228 รายการ
แชร์ 30 ครั้ง"
"Alek San
22 ชม.
 
 · 
รบกวนหน่อยค่าาา พอดีไม่ถนัด framework แต่ต้องมาแก้งานต่อ คืออยากทราบว่าหน้านี้มัน submit แล้ว action ไปที่หน้าไหน? คือพยายามไล่หาแล้วแต่ไม่เจอค่ะ
รบกวนด้วยค่ะ ^^
8
ความคิดเห็น 9 รายการ
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูอีก 3 ความคิดเห็น
Shupachok Sopawanus
ที่วงน่าจะเกี่ยวกะเขียน table ป่ะครับ get ค่ามา สร้าง table ต้องดูว่า factory building ทำอะไร
1
แชร์ · 14 ชม.
Jonathan Silver
ดูที่ controller ครับน่าจะชื่อเดียวกับ url ดูว่ามันเช็ค post ไหมถ้าใช่ก็ดูจากตรงนั้นเลย
แชร์ · 2 ชม.",Alek San,"รบกวนหน่อยค่าาา พอดีไม่ถนัด framework แต่ต้องมาแก้งานต่อ คืออยากทราบว่าหน้านี้มัน submit แล้ว action ไปที่หน้าไหน? คือพยายามไล่หาแล้วแต่ไม่เจอค่ะ
รบกวนด้วยค่ะ ^^",Alek San,"8
ความคิดเห็น 9 รายการ"
"Supamith Pongpipat ได้แชร์โพสต์  · ==================================================================================================เมื่อวานนี้ เวลา 06:23 น.================  · มาแบ่งปันโปรแกรมดีๆ เผื่อชาวโปรแกรมเมอร์ คนไหนอยากเข้าร่วมโปรแกรมไปบ่มเพาะทักษะเพื่อไปต่อยอด Startup พร้อมเงินทุนสนับสนุนครับ https://www.facebook.com/kxinnovation/posts/3955481271150862KX Knowledge Xchange  · =============================4 มกราคม เวลา 04:01 น.===========================================================  · KX ขอต้อนรับปีใหม่ 2021 ด้วยโปรแกรม 'TECHBITE' Incubation Program Batch 2 ที่  ""เปิดรับสมัคร"" เหล่า startup ที่สนใจมารับการบ่มเพาะความรู้ความสามารถ แล้ววันนี... ดูเพิ่มเติมถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น",Supamith Pongpipat,"มาแบ่งปันโปรแกรมดีๆ เผื่อชาวโปรแกรมเมอร์ คนไหนอยากเข้าร่วมโปรแกรมไปบ่มเพาะทักษะเพื่อไปต่อยอด Startup พร้อมเงินทุนสนับสนุนครับ 
https://www.facebook.com/kxinnovation/posts/3955481271150862",Supamith Pongpipat ได้แชร์โพสต์,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"ปัญจะ คล้ายโพธิ์ทอง ได้แชร์วิดีโอถ่ายทอดสด  · ==================================================================================================เมื่อวานนี้ เวลา 06:23 น.================  · 0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ==================================================================================================เมื่อวานนี้ เวลา 05:53 น.================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม3ถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น",ปัญจะ คล้ายโพธิ์ทอง,"0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ==================================================================================================เมื่อวานนี้ เวลา 05:53 น.================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม",ปัญจะ คล้ายโพธิ์ทอง ได้แชร์วิดีโอถ่ายทอดสด,3
ประกาศิต ลิขิตนภา  · ==================================================================================================เมื่อวานนี้ เวลา 05:16 น.================  · รบกวนแนะนำ notebook งบไม่เกิน 25k ทีครับเอามาใช้ฝึกเขียน backend  Java เพรียวๆ กับหัดใช้ Linux Server  บน VM wareมีเขียน Mobile  แต่ไม่ถึงกับวาด UI สวยๆได้ ครับ ไม่เน้น front endเน้น  Linux Server บน VM ware  ครับ งบ 25k  แรม 8 จะไหวไหมครับ1ความคิดเห็น 3 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นมะไฟ โจตอฝสกี้แรม ๘ ดูว่าน้อยไปมั้งสักเจ็ดแปดปีก่อน อาจจะพอใช้ได้ แต่ทุกวันนี้น่าจะ แรม ๑๕ ขึ้นไปละครับ... ดูเพิ่มเติม1 · แชร์ · 1 วันการตอบกลับ 2 รายการ,,"รบกวนแนะนำ notebook งบไม่เกิน 25k ทีครับ
เอามาใช้ฝึกเขียน backend  Java เพรียวๆ 
กับหัดใช้ Linux Server  บน VM ware
มีเขียน Mobile  แต่ไม่ถึงกับวาด UI สวยๆได้ ครับ ไม่เน้น front end
เน้น  Linux Server บน VM ware  ครับ งบ 25k  แรม 8 จะไหวไหมครับ",ประกาศิต ลิขิตนภา,"1
ความคิดเห็น 3 รายการ"
"Bon Prasertsuwan
18 ชม.
 
 · 
ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ
113
ความคิดเห็น 116 รายการ
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นก่อนหน้า
วรากร เลิศวัฒนพงศ์
วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+
แชร์ · 1 ชม.
จิตรกร ปั้น
เขานอนกันด้วยหรอครับ พึ่งรู้
2
แชร์ · 29 นาที",,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 20 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 22 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 20 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
Nipa Chamyuang  · =2 ชม.=================  · มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง12ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นณัฐพงษ์ เชิดสุพรรณ์เค้าแก้แล้วครับ แก้จาก เบอร์ ที่ เข้ารหัส ตอนส่งไป เพิ่ม device id2 · แชร์ · 2 ชม.การตอบกลับ 2 รายการกันเนอร์ แคร็กเกอร์แก้ไม่หายครับ ล่าสุดมีโดนกันอีกแล้ว · แชร์ · 34 นาทีการตอบกลับ 1 รายการ,Nipa Chamyuang,มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง,Nipa Chamyuang,"12
ความคิดเห็น 5 รายการ"
"Abhichat Wankaew  · =2 ชม.=================  · ถามผู้รู้ flutter ครับเจอแบบนี้ไปยังไงต่อครับทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ2ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 2 ความคิดเห็นด.ช.ธนาธิป สีมูลคำของผมใช้อยู่ก็เป็นครับ แต่ build ได้ ก็ปล่อยมันแบบนั้นแหละ · แชร์ · 1 ชม.ดั๊บเบิ้ลคลิก คอมพิวเตอร์flutter channel devflutter upgradeflutter config --android-studio-dir=""C:\Program Files\Android\Android Studio""... ดูเพิ่มเติม · แชร์ · 35 นาที",,"ถามผู้รู้ flutter ครับ
เจอแบบนี้ไปยังไงต่อครับ
ทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ",Abhichat Wankaew,"2
ความคิดเห็น 5 รายการ"
"วันมงคล พานิชกุล
18 ชม.
 
 · 
สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี
155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นก่อนหน้า
Karan Sivarat
ถ้าเรื่องสมัครงานก็มีผลบ้างกับองค์กรใหญ่ ๆ ครับ แต่การเลือกที่เรียนสำหรับผมมีผลกับความรู้ ความสามารถของเราที่จะจบออกจากมหาวิทยาลัยครับ (เมื่อเก่งแล้วการหางานก็อาจจะตามมาเอง)
- ที่ว่ามีผลเนี่ยไม่ได้มีกับมหาวิทยาลัยโดยตรง มหาวิทยาลัยให้แค่สิ่งอำนวยความส... ดูเพิ่มเติม
1
แชร์ · 47 นาที · แก้ไขแล้ว
Thitipong Smrvnt
มีคนเคยบอกว่าแค่
ทำได้ กับทำไม่ได้ ...
เรื่องอื่นๆทั้งหมดเป็นเรื่องรองๆลงมา... ดูเพิ่มเติม
แชร์ · 42 นาที · แก้ไขแล้ว",วันมงคล พานิชกุล,สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี,วันมงคล พานิชกุล,"155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง"
"Rawin Ngamloet ได้แชร์ลิงก์
54 นาที
 
 · 
ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101
YOUTUBE.COM
เรียน Docker 101 : EP.3 สร้าง Dockerfile กันเถอะ
วีดีโอสอนการใช้งาน Docker สำหรับผู้รักเรียนรู้ทุกท่านครับ โดยในตอนนี้จะเน้นถึงเรื่องของการสร้าง Dockerfile สำหรับ bu...
43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นอีก 1 รายการ
Chumrod Witsanu
แชร์ · 1 ชม.
Rawin Ngamloet
ขอบคุณครับ
หยุด GIF ชั่วคราว
GIPHY
แชร์ · 48 นาที",Rawin Ngamloet,"ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101",Rawin Ngamloet ได้แชร์ลิงก์,"43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง"
"Off Jaturapat ได้แชร์ลิงก์
54 นาที
 
 · 
หนังสือฟรีสายคอมอ่านกันฟรีๆ
PATANASONGSIVILAI.COM
แจกหนังสือฟรีสายคอมหลายเล่ม
ช่วงโควิด 19 หลายคนคงกำลังอยู่บ้าน workfrom home หรือกำ…
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",Off Jaturapat,หนังสือฟรีสายคอมอ่านกันฟรีๆ,Off Jaturapat ได้แชร์ลิงก์,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"กวิน สายอุบล
54 นาที
 
 · 
แอพเป๋าตังมีAPI มั้ยครับ?
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",กวิน สายอุบล,แอพเป๋าตังมีAPI มั้ยครับ?,กวิน สายอุบล,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"Arkom Thaicharoen ได้แชร์โพสต์  · ==2 ชม.================  · BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม781 ความคิดเห็นแชร์ 54 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นKaitoon SooksonchaiBeau Krittaya Chato1 · แชร์ · 58 นาที",Arkom Thaicharoen,"BorntoDev  · =======================================================14 มกราคม เวลา 22:00 น.===================================  ·  ""ไม่ได้จบสายไอที คอมพิวเตอร์มาตรง ๆ แต่อยากเป็น โปรแกรมเมอร์ ทำยังไงดีครับบบบบ !?"".มีคำถามแบบนี้ในใจไม่ต้องกังวล เพราะ ไม่มีใครแก่เกินเรียนแน่นอน โดยในวันน... ดูเพิ่มเติม",Arkom Thaicharoen ได้แชร์โพสต์,"78
1 ความคิดเห็น
แชร์ 54 ครั้ง"
Samphan Raruenrom ได้แชร์โพสต์  · 22 ชม.  · อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กันใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบายBlognone  · =================================================================================================เมื่อวานนี้ เวลา 19:30 น.=================  · เป็นธรรมเนียมทุกปีที่ LinkedIn เว็บไซต์หางาน จัดอันดับตำแหน่งงานที่มีความต้องการจากนายจ้างมากที่สุด ซึ่งปีนี้ตำแหน่งงานที่ได้รับความนิยม ยังหนีไม่พ้นสายงานไอที แ... ดูเพิ่มเติม809ความคิดเห็น 69 รายการแชร์ 260 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 32 ความคิดเห็นTum ChangudomIT คือทุกอย่าง ยันดักหนู1 · แชร์ · 1 ชม.Nickna Khuntongนี่มัน Lineup บริษัท Online Marketing ชัดๆ รู้เลยว่านี่ยุคขายของออนไลน์ 55 · แชร์ · 1 ชม.,Samphan Raruenrom,"อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กัน
ใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบาย",Samphan Raruenrom ได้แชร์โพสต์,"809
ความคิดเห็น 69 รายการ
แชร์ 260 ครั้ง"
"ปัญจะ คล้ายโพธิ์ทอง ได้แชร์วิดีโอถ่ายทอดสด  · ==================================================================================================เมื่อวานนี้ เวลา 06:23 น.================  · 0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ====================เมื่อวานนี้ เวลา 05:53 น.==============================================================================================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม3ถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น",ปัญจะ คล้ายโพธิ์ทอง,"0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ====================เมื่อวานนี้ เวลา 05:53 น.==============================================================================================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม",ปัญจะ คล้ายโพธิ์ทอง ได้แชร์วิดีโอถ่ายทอดสด,3
"สมาคมโปรแกรมเมอร์ไทย ได้แชร์วิดีโอถ่ายทอดสด  · ====================เมื่อวานนี้ เวลา 05:55 น.==============================================================================================  · 0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ====================เมื่อวานนี้ เวลา 05:53 น.==============================================================================================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม5แชร์ 3 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น",สมาคมโปรแกรมเมอร์ไทย,"0:00 / 1:17:34สมาคมโปรแกรมเมอร์ไทย ได้แพร่ภาพสด  · ====================เมื่อวานนี้ เวลา 05:53 น.==============================================================================================  · The Avigilon Experience & Intelligent Security Solutions""AI วงจรปิดอัจฉริยะ โซลูชันใหม่ช่วยแก้ปัญหาความปลอดภัยไซเบอร์"". Live ที่จะนำเสนอประสบการณ์ The Avig... ดูเพิ่มเติม",สมาคมโปรแกรมเมอร์ไทย ได้แชร์วิดีโอถ่ายทอดสด,"5
แชร์ 3 ครั้ง"
Supat Pooresirichot  · ====================เมื่อวานนี้ เวลา 05:12 น.==============================================================================================  · ขอถามหน่อยครับ อยู่ๆเวลามันเพี้ยน แต่ใน local host มันปกติ ไม่ทราบจะแก้ไขได้อย่างไรครับ ขนาดผมลองทำไฟล์ใหม่แล้วลองเทียบระหว่าง localhost กับบน host มันยังไม่ตรงกันเลยครับ14ความคิดเห็น 6 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 4 ความคิดเห็นApiwat Sooklueangอยู่ที่ time ของ server ละครับ2 · แชร์ · 1 วันSupat Pooresirichotได้แล้วครับ แจ้งไปทางโฮสเขาแก้ไขให้ ขอบคุณทุกท่านครับ · แชร์ · 1 วัน,Supat Pooresirichot,ขอถามหน่อยครับ อยู่ๆเวลามันเพี้ยน แต่ใน local host มันปกติ ไม่ทราบจะแก้ไขได้อย่างไรครับ ขนาดผมลองทำไฟล์ใหม่แล้วลองเทียบระหว่าง localhost กับบน host มันยังไม่ตรงกันเลยครับ,Supat Pooresirichot,"14
ความคิดเห็น 6 รายการ"
"ชัยวุฒิ อึ่ง พรหมบุตร ได้แชร์ลิงก์  · ================20 มกราคม เวลา 04:26 น.==========================================================================  · วีดีโอ สอนการเขียนแอพ Android, iOS ด้วยภาษา Dart บน PlatForm Flutter Googleสอนโดย มาสเตอร์ อึ่ง ตอนที่ 14 EP14เรื่อง การติดตั้ง Firebase Auth Package บน Flutterhttps://youtu.be/6yn6zjYSi5kyoutube.comการติดตั้ง Firebase Auth Package บน Flutter EP14 วีดีโอ สอนเขียนแอพ Flutterวีดีโอ สอนการเขียนแอพ Android, iOS ด้วยภาษา Dart บน PlatForm Flutter Googleสอนโดย มาสเตอร์ อึ่ง ตอนที่ 14 EP14เรื่อง การติดตั้ง Firebase Auth Package บน Flu...36ความคิดเห็น 2 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นChayanin Pui Kaขอบคุณค่ะ1 · แชร์ · 2 วันการตอบกลับ 1 รายการ",ชัยวุฒิ อึ่ง พรหมบุตร,"วีดีโอ สอนการเขียนแอพ Android, iOS ด้วยภาษา Dart บน PlatForm Flutter Google
สอนโดย มาสเตอร์ อึ่ง ตอนที่ 14 EP14
เรื่อง การติดตั้ง Firebase Auth Package บน Flutter
https://youtu.be/6yn6zjYSi5k",ชัยวุฒิ อึ่ง พรหมบุตร ได้แชร์ลิงก์,"36
ความคิดเห็น 2 รายการ
แชร์ 2 ครั้ง"
"ชัยวุฒิ อึ่ง พรหมบุตร ได้แชร์ลิงก์  · ==========================================================เมื่อวานนี้ เวลา 05:12 น.========================================================  · ขออนุญาติ แชร์ วีดีโอ สอน การสมัครสมาชิค ด้วย Firebase Auth ด้วยภาษา Dart บน PlatForm Flutter Googleสอนโดย มาสเตอร์ อึ่ง ตอนที่ 14.1 EP14.1เรื่อง การสมัครสมาชิค ด้วย Firebase Authhttps://youtu.be/wA3n_8yTcFQyoutube.comการสมัครสมาชิค ด้วย Firebase Auth EP 14.1 วีดีโอ สอนเขียนแอพ Flutterวีดีโอ สอนการเขียนแอพ Android, iOS ด้วยภาษา Dart บน PlatForm Flutter Googleสอนโดย มาสเตอร์ อึ่ง ตอนที่ 14.1 EP14.1เรื่อง การสมัครสมาชิค ด้วย Fir...30แชร์ 7 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็น",ชัยวุฒิ อึ่ง พรหมบุตร,"ขออนุญาติ แชร์ วีดีโอ สอน การสมัครสมาชิค ด้วย Firebase Auth ด้วยภาษา Dart บน PlatForm Flutter Google
สอนโดย มาสเตอร์ อึ่ง ตอนที่ 14.1 EP14.1
เรื่อง การสมัครสมาชิค ด้วย Firebase Auth
https://youtu.be/wA3n_8yTcFQ",ชัยวุฒิ อึ่ง พรหมบุตร ได้แชร์ลิงก์,"30
แชร์ 7 ครั้ง"
Supinyo Meesompach  · ==========================================================เมื่อวานนี้ เวลา 02:12 น.========================================================  · อยากทราบว่า พี่ๆมีวิธี สั่งเปิด Link ใน chrome ในมือถือแล้วเปิด tap ใหม่ใน chrome pc หรือไม่คะแบบไม่ต้องบันทึกลิ้งค์ไปเปิดอีกที 10ความคิดเห็น 11 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นNathaกดจุดสามจุด -> Share -> sent to your device1 · แชร์ · 1 วัน · แก้ไขแล้วการตอบกลับ 9 รายการSupinyo Meesompachหรือจริงๆแล้ว มันไม่มีฟังก์ชั่นนี้ใช่มั้ยคะ ถ้าไม่มี มีวิธีอะไรอีกไหมคะ · แชร์ · 1 วัน,Supinyo Meesompach,"อยากทราบว่า พี่ๆมีวิธี สั่งเปิด Link ใน chrome ในมือถือ
แล้วเปิด tap ใหม่ใน chrome pc หรือไม่คะ
แบบไม่ต้องบันทึกลิ้งค์ไปเปิดอีกที ",Supinyo Meesompach,"10
ความคิดเห็น 11 รายการ"
"Bon Prasertsuwan
18 ชม.
 
 · 
ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ
113
ความคิดเห็น 116 รายการ
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นก่อนหน้า
วรากร เลิศวัฒนพงศ์
วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+
แชร์ · 1 ชม.
จิตรกร ปั้น
เขานอนกันด้วยหรอครับ พึ่งรู้
2
แชร์ · 30 นาที",,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 21 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
